name,rating,reviews,location,salery,interview,job_ava
State Street Corporation,3.6,3.6k,Financial Services | Bangalore / Bengaluru +31 other locations,29.4k,270,--
Bank of America,4.2,3.6k,Banking | Gurgaon / Gurugram +33 other locations,27.2k,275,1
XpressBees,4.2,3.6k,Internet | Pune +465 other locations,7.9k,429,15
Publicis Sapient,3.4,3.6k,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,29.5k,663,223
RBL Bank,3.5,3.6k,Banking | Mumbai +268 other locations,17.9k,222,73
American Express,4.1,3.6k,Financial Services | Gurgaon / Gurugram +50 other locations,23.2k,405,202
Viatris,4.1,3.6k,Pharma | Hyderabad / Secunderabad +80 other locations,14k,156,9
Subros,3.8,3.5k,Auto Components | Noida +84 other locations,12.2k,206,1
PVR Inox,3.9,3.5k,Media & Entertainment | New Delhi +149 other locations,9.2k,195,13
Pidilite Industries,4.2,3.5k,Chemicals | Mumbai +288 other locations,10.9k,243,6
Alembic Pharmaceuticals,3.9,3.5k,Pharma | Vadodara +178 other locations,14.8k,242,43
Automatic Data Processing (ADP),3.9,3.5k,Software Product | Hyderabad / Secunderabad +39 other locations,21.4k,278,14
Maersk,4.0,3.4k,Logistics | Chennai +47 other locations,18.3k,237,51
Sodexo,4.0,3.4k,Facility Management Services | Mumbai +152 other locations,9.7k,190,1.3k
Samvardhana Motherson Group,3.7,3.4k,Auto Components | Noida +90 other locations,12.1k,249,21
Escorts Kubota Limited,4.1,3.4k,Automobile | Faridabad +145 other locations,12.9k,267,1
Godrej & Boyce Manufacturing,3.9,3.4k,Consumer Electronics & Appliances | Mumbai +156 other locations,14.7k,212,63
Synechron,3.5,3.4k,IT Services & Consulting | Pune +31 other locations,27.1k,396,57
Birlasoft,3.5,3.4k,IT Services & Consulting | Pune +45 other locations,29.3k,309,5
Dabur,3.9,3.4k,FMCG | New Delhi +305 other locations,8.4k,316,27
Abbott,4.1,3.4k,Pharma | Mumbai +200 other locations,11.5k,167,319
Kogta Financial India Limited,4.7,3.4k,NBFC | Jaipur +244 other locations,1.7k,148,90
Bharat Electronics,4.2,3.4k,Electronics Manufacturing | Bangalore / Bengaluru +81 other locations,12.1k,233,--
Cogent E Services,3.2,3.4k,BPO | Noida +52 other locations,9.9k,281,2
PNB MetLife,3.4,3.4k,Insurance | New Delhi +398 other locations,7.9k,178,11
Kyndryl,3.9,3.4k,IT Services & Consulting | Bangalore / Bengaluru +33 other locations,24.7k,212,107
Aditya Birla Sun Life Insurance,4.0,3.4k,Insurance | Mumbai +459 other locations,9.7k,161,--
Grasim Industries,4.0,3.3k,Building Material | Bharuch +220 other locations,11.8k,257,--
Aarti Industries,4.1,3.3k,Agro Chemicals | Bharuch +56 other locations,13.8k,310,2
Glenmark Pharmaceuticals,3.8,3.3k,Pharma | Mumbai +167 other locations,11.6k,169,56
Indian Oil Corporation,4.4,3.3k,Oil & Gas | New Delhi +296 other locations,7.5k,230,--
Kotak Mahindara Life Insurance,3.6,3.3k,Insurance | Mumbai +241 other locations,12.4k,251,6.2k
JK Cement,4.0,3.3k,Building Material | New Delhi +307 other locations,9.3k,313,3
KPIT Technologies,3.1,3.3k,Software Product | Pune +41 other locations,22k,327,43
Reliance Projects & Property Management Services,4.0,3.3k,IT Services & Consulting | Kolkata +591 other locations,7.1k,194,--
"NTT DATA, Inc.",4.0,3.3k,IT Services & Consulting | Bangalore / Bengaluru +31 other locations,21.3k,143,824
Ipca Laboratories,3.9,3.3k,Pharma | Mumbai +151 other locations,11.3k,184,60
Tata Capital,4.0,3.3k,NBFC | Mumbai +314 other locations,10.7k,182,2.1k
Johnson Controls,3.5,3.3k,Industrial Automation | Pune +53 other locations,16.6k,289,135
